trim_ms,id,text,output_path,duration_s,rtf
0,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim000_0001.wav,4.16,1.4946
0,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim000_0005.wav,2.32,2.5984
40,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim040_0001.wav,4.08,2.1288
40,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim040_0005.wav,2.28,2.013
60,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim060_0001.wav,4.04,1.4072
60,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim060_0005.wav,2.28,2.2713
80,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim080_0001.wav,4.0,2.0045
80,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim080_0005.wav,2.24,2.167
100,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim100_0001.wav,3.96,1.4363
100,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim100_0005.wav,2.2,2.0301
120,0001,各位观众，欢迎收听今日 AI 修仙群瞎哔哔报告。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim120_0001.wav,3.92,1.7097
120,0005,先说第一案，薅羊毛大战。,/Users/vanch/tts_benchmarks/omnivoice_ref_context_trim_sweep_20260516/trim120_0005.wav,2.2,2.8235
